Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time,,,
Julia,0.787618851,0.011962709,0.005282586,0.095775845,0.011489888,0.013264263,0.014900954,0.064376126,2.37E-07,0.050254511,0.092506896,0.071149196,0.269145208,0.251730742,0.017136346,0.053032686,0.023112272,0.260862398,0.61357087,0.19441292,0.226919919,0.079105723,0.441398346,0.188891446,35.62952602,0.011440109,0.013211833,0.014833368,0.064154387,0.08247322,0.00129132,0.033583332,0.019695275,1.10E-05,1.556735957,0.014374035,0.175693875,,,
Julia,0.951254561,0.011958256,0.00530327,0.100290619,0.011175845,0.013345697,0.016012003,0.108867038,2.37E-07,0.053460497,0.134648419,0.095570997,0.306675306,0.27722909,0.03635012,0.075135324,0.035334423,0.544468016,0.865778577,0.288293461,0.336615073,0.123213817,0.689062055,0.30536961,34.66686771,0.011143118,0.013310045,0.015962911,0.108613652,0.124430646,0.002547586,0.046511938,0.013127856,1.04E-05,1.588404255,0.014608997,0.230623148,,,
Julia,0.824221275,0.011960871,0.005268836,0.098185228,0.011489522,0.013248584,0.014470621,0.094503249,2.30E-07,0.055213361,0.115286044,0.079257362,0.200050732,0.175637619,0.018167193,0.057804156,0.029188461,0.280287215,0.670423258,0.241258062,0.247113574,0.087889872,0.496929661,0.221125037,32.43967352,0.011457189,0.013214574,0.014427986,0.094291883,0.106854937,0.002196393,0.047414095,0.015879826,1.07E-05,1.706332806,0.012076914,0.439002552,,,
Julia,1.02996412,0.011954697,0.005328319,0.099812688,0.011702434,0.013364727,0.015442784,0.264065259,2.35E-07,0.055693196,0.173372952,0.131929699,0.308791153,0.29840683,0.029726721,0.104986054,0.025991631,0.44316849,1.203886354,0.21163527,0.439800559,0.144578277,0.764908584,0.317871409,19.24880274,0.011677783,0.013339047,0.015408725,0.263623232,0.163710827,0.004842526,0.056136029,0.015115488,1.02E-05,1.645737589,0.013810917,0.171463547,,,
Julia,1.625756298,0.011951815,0.005332559,0.097708359,0.011782435,0.01318427,0.01588332,1.766443425,2.36E-07,0.058434055,0.192849346,0.191326287,0.448185609,0.4295811,0.029153199,0.150692882,0.03499762,0.441090583,1.726359012,0.291468838,0.620825309,0.182909187,0.971828745,0.414592721,19.02426166,0.011759945,0.013161314,0.015851576,1.763764025,0.1830607,0.007721847,0.056643542,0.029347379,9.81E-06,1.672698181,0.013969935,0.550092944,,,
Julia,1.149076759,0.011953607,0.005320098,0.097823655,0.011560086,0.013283451,0.01629778,0.364284617,2.39E-07,0.056881785,0.17798961,0.149560703,0.399357583,0.373097915,0.036048741,0.116393487,0.032717257,0.538370243,1.336640288,0.272059286,0.495126419,0.157881703,0.872897498,0.365356746,21.99685584,0.011535962,0.013258165,0.01626217,0.363680509,0.168157618,0.005539456,0.054228352,0.024125259,1.01E-05,1.651448009,0.014041625,0.218992557,,,
Julia,0.922229284,0.011956095,0.005305651,0.097537293,0.011581236,0.013135435,0.016133718,0.145115705,2.32E-07,0.052340008,0.141771698,0.114804599,0.380655497,0.360152139,0.021738736,0.085742946,0.018185528,0.323223849,0.987382082,0.149543777,0.361032555,0.109579487,0.597315357,0.248786607,16.25085385,0.011549671,0.013102776,0.016087679,0.144801358,0.131707548,0.003282172,0.050134477,0.027405263,1.04E-05,1.582158063,0.0144012,0.100695923,,,
Julia,0.981199963,0.011958126,0.005297006,0.099480988,0.011199166,0.013400644,0.015597008,0.090909984,2.34E-07,0.052462911,0.120374003,0.096821033,0.368048972,0.350820476,0.040329003,0.081739776,0.038464741,0.603690765,0.942960093,0.316122955,0.365834252,0.138274125,0.758927378,0.338043324,23.27998645,0.011159025,0.013356825,0.01553848,0.090650967,0.109373791,0.002117598,0.043216283,0.02685327,1.01E-05,1.53514509,0.015716063,0.14664145,,,
Julia,0.974198404,0.011954138,0.005313691,0.098347666,0.011616926,0.013233478,0.016188924,0.176122187,2.37E-07,0.054371614,0.137161638,0.140866265,0.30933567,0.288186886,0.030795316,0.112025294,0.021172668,0.454662933,1.288031076,0.173709216,0.472005351,0.146352325,0.782838276,0.318745695,13.99969812,0.011583341,0.013198577,0.016139922,0.175717493,0.126876193,0.003802296,0.021356438,0.028515863,1.02E-05,1.596408929,0.014697305,0.63247519,,,
Julia,0.833579194,0.011959248,0.005284059,0.094912177,0.011607598,0.013152583,0.01486421,0.109013771,2.36E-07,0.054734895,0.124378138,0.088519632,0.285908993,0.261847641,0.017087995,0.06968106,0.02033643,0.258693549,0.805844023,0.171777456,0.292657808,0.095245376,0.513228803,0.21045784,25.90066884,0.011576642,0.013120586,0.014822706,0.10878271,0.115725915,0.002584862,0.045312369,0.013550961,1.10E-05,1.688267193,0.012392531,0.36457852,,,
