Set_Number,Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time
1,Julia,1.016189197,0.011954328,0.005319337,0.098420514,0.01166123,0.01323119,0.01592219,0.226347348,2.35E-07,0.054864074,0.158727622,0.13754282,0.339491259,0.322106815,0.027464012,0.108277964,0.026892827,0.411515772,1.243650563,0.221644036,0.453500964,0.14058837,0.773098239,0.319919394,26.40338642,0.011633096,0.013202071,0.01588197,0.225913364,0.148674539,0.004427227,0.037513453,0.018143776,1.02E-05,1.614761469,0.014366959,0.140723045
2,Julia,1.064862864,0.011953864,0.005319508,0.098240816,0.011700779,0.013264277,0.015820807,0.278293458,2.35E-07,0.055372214,0.167793718,0.145058039,0.358880257,0.337195757,0.028878806,0.115251548,0.026805738,0.431667419,1.32367648,0.221244428,0.481008444,0.149869785,0.812795566,0.334942833,25.39274154,0.011674138,0.013236728,0.015783092,0.277789907,0.15772971,0.004938628,0.043996078,0.021764908,1.01E-05,1.620546876,0.014378622,0.287226166
3,Julia,1.012195219,0.01195448,0.00531758,0.098590871,0.011641627,0.013288641,0.015854294,0.205913659,2.36E-07,0.054655437,0.154536816,0.135315381,0.318935344,0.301008188,0.029876445,0.106517633,0.027376657,0.446222153,1.223837617,0.225431485,0.448315471,0.14307993,0.777081106,0.322960177,23.90077771,0.011612367,0.013258174,0.015812573,0.205502345,0.144366084,0.004185807,0.038854526,0.022126603,1.02E-05,1.605976075,0.01453393,0.374306161
4,Julia,1.064876159,0.011953731,0.005318123,0.0985537,0.011736815,0.013208182,0.015821723,0.300965216,2.37E-07,0.0562728,0.166152535,0.147323508,0.363907599,0.345376492,0.025182639,0.116491038,0.031487484,0.382120822,1.33824094,0.260030064,0.482965465,0.145996199,0.824488815,0.337000829,24.49996766,0.011710662,0.013181334,0.015784809,0.300432254,0.156387314,0.005121426,0.03677959,0.017619839,1.02E-05,1.647460278,0.013951969,0.143164803
5,Julia,1.025923989,0.011954537,0.005316284,0.098959512,0.011643019,0.013281495,0.015697311,0.212643155,2.35E-07,0.055491757,0.155657465,0.134419158,0.309648318,0.29259813,0.029509924,0.107107603,0.031752151,0.444201565,1.230923439,0.261306657,0.450566549,0.144629711,0.800441268,0.335010236,22.79339469,0.011614609,0.013251932,0.015657208,0.212230795,0.145693362,0.004279344,0.042062982,0.022914286,1.01E-05,1.627283522,0.014237269,0.160829718
6,Julia,0.957086296,0.01195612,0.005314995,0.099021562,0.011515255,0.013341225,0.015727515,0.146814407,2.36E-07,0.054426437,0.141615834,0.114594999,0.319323005,0.300238616,0.031140201,0.09013325,0.028897769,0.465425501,1.036189707,0.237355554,0.386200143,0.130854684,0.711458414,0.302930795,22.77805161,0.011484355,0.013308568,0.015683329,0.146501302,0.131707727,0.003326283,0.04039067,0.017383632,1.03E-05,1.616894352,0.014166159,0.094346534
7,Julia,1.070070382,0.011953739,0.005314902,0.099123527,0.011644911,0.013249282,0.015882244,0.283232743,2.36E-07,0.055963058,0.164710207,0.147265829,0.324438004,0.302502993,0.030687322,0.115520313,0.030216259,0.459795755,1.327869584,0.248125673,0.485267651,0.152491656,0.83562483,0.348013885,27.85613328,0.011618117,0.013221474,0.015843983,0.282714845,0.154732999,0.004963096,0.037852943,0.020724682,1.01E-05,1.63245724,0.014252316,0.460205061
8,Julia,1.044545262,0.011954487,0.005319857,0.098874245,0.011688294,0.013249049,0.015827609,0.233435678,2.37E-07,0.056080966,0.158458571,0.135076829,0.356570562,0.335364163,0.026574997,0.107796695,0.033114396,0.403129246,1.238018777,0.272957075,0.450334964,0.140072495,0.795651081,0.330391659,25.6305384,0.01166109,0.013220919,0.015789038,0.233003893,0.148755535,0.00450185,0.044981785,0.022880263,1.02E-05,1.648376262,0.013865804,0.339720063
9,Julia,1.025555356,0.011954479,0.005316965,0.099093493,0.011622168,0.01328985,0.015890164,0.21037396,2.36E-07,0.054981792,0.156210206,0.135313121,0.329068934,0.310784971,0.03104832,0.107843813,0.028827338,0.46401206,1.239219267,0.236623124,0.455048469,0.14583277,0.795707378,0.331702904,24.94970197,0.011593362,0.013259802,0.015848927,0.209959565,0.146062932,0.004242875,0.039786038,0.021232042,1.02E-05,1.611300976,0.014498543,0.370952982
10,Julia,0.928733628,0.011956456,0.005307201,0.098033847,0.011489546,0.013263031,0.015570209,0.129175376,2.35E-07,0.053679522,0.134177978,0.111172694,0.300764668,0.283156408,0.028786585,0.087633442,0.02811637,0.431266074,1.00892943,0.232694305,0.375490559,0.126087563,0.687224577,0.291905802,22.19079407,0.011456348,0.013228071,0.015523106,0.12887872,0.124121419,0.003002415,0.036859363,0.018617659,1.03E-05,1.599643337,0.014380547,0.102547342
11,Julia,0.981644341,0.011954977,0.00531265,0.098512043,0.011662978,0.013223655,0.015620343,0.184450353,2.36E-07,0.054728582,0.147845166,0.128229297,0.314716557,0.29596708,0.025294253,0.10118069,0.026114915,0.379834782,1.163606029,0.215000881,0.423544285,0.133092269,0.72756257,0.298894371,27.75080408,0.011633301,0.01319296,0.015578728,0.184077342,0.138001954,0.0039194,0.039703936,0.022857634,1.03E-05,1.624115152,0.014072644,0.218474024
12,Julia,0.98473393,0.011955225,0.005317317,0.098200959,0.011561362,0.013245856,0.015690951,0.170012696,2.36E-07,0.054384406,0.146812775,0.12505058,0.310919424,0.292165361,0.029308966,0.098970714,0.027841984,0.438445775,1.137228976,0.230078415,0.420039621,0.136548447,0.74138205,0.310395788,25.6911953,0.01153096,0.013214082,0.01564775,0.169657381,0.136733153,0.003701945,0.041077008,0.022763321,1.03E-05,1.607339202,0.014407801,0.145601115
