Set_Number,Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time
1,Julia,1.030006926,0.013255102,0.005225686,0.100442367,0.015173991,0.016772838,0.020437349,0.105436687,2.51E-07,0.059613957,0.144259293,0.120341813,0.35360022,0.306163071,0.025316983,0.108820535,0.028800351,0.442455614,1.184198573,0.253701746,0.374006015,0.135926758,0.842605959,0.350591373,25.69429935,0.01513741,0.016735876,0.020385845,0.105234992,0.134960123,0.003377502,0.04,0.02,1.11E-05,1.737679008,0.012706292,0.1981127
2,Julia,0.988518954,0.010180092,0.004908767,0.136986475,0.008493316,0.010036883,0.015980457,0.168009678,2.58E-07,0.058241256,0.158681727,0.136530964,0.315286547,0.334441945,0.031760659,0.10239614,0.027004337,0.431737046,1.278309687,0.219837063,0.475647787,0.12531296,0.862539433,0.304364469,25.65084745,0.008474466,0.010016522,0.015943382,0.167713815,0.149273154,0.004390999,0.04,0.02,1.13E-05,1.699099611,0.013080977,0.2725655
3,Julia,1566.738503,0.012326538,0.004992369,5.337702545,3.94552435,5.129747403,2.188769103,9.157694566,0.005911067,2.15E-06,0.015581434,0.123201154,0.227565113,0.265829841,0.02480124,0.117948511,0.025213207,0.360316769,1.144680432,0.007143942,0.007225781,0.007481302,0.007152102,0.00735153,25.47686556,2.481113348,3.332282741,1.35355545,6.23775195,0.000887576,1.63E-05,0.04,0.02,0.28115312,6.70E-05,0.020883306,0.3332454
4,Julia,0.977410182,0.012480405,0.004549785,0.078456626,0.01185745,0.01416805,0.015284843,0.205735023,1.98E-07,0.050965038,0.166540797,0.142601192,0.319254024,0.316495453,0.0211613,0.080860325,0.026871361,0.432369308,1.044847528,0.261602453,0.439736615,0.121778739,0.685579252,0.324585327,25.56135629,0.011826366,0.014134098,0.015242957,0.205307043,0.155062444,0.004049022,0.04,0.02,8.71E-06,1.505170814,0.016173511,0.3639452
5,Julia,1.466750048,0.011129851,0.005812913,0.143213442,0.016066705,0.020080023,0.02211675,1.366802202,2.29E-07,0.059605415,0.147669489,0.147360229,0.264119318,0.327964795,0.039243014,0.139536338,0.035205769,0.47733352,1.308539741,0.247883022,0.398083099,0.139729233,0.642208096,0.362623994,25.48333103,0.016033576,0.020042177,0.022069078,1.364566065,0.139687519,0.005951211,0.04,0.02,9.77E-06,1.761819873,0.011680024,0.226491
6,Julia,1.035770059,0.015783338,0.005416923,0.068644435,0.00932297,0.011482308,0.013318501,0.254418809,2.91E-07,0.04760667,0.165847358,0.143656625,0.345307997,0.318986697,0.028572635,0.110350609,0.035446415,0.435268281,1.065501765,0.285469036,0.497564966,0.136646268,0.783803754,0.306114724,25.57284877,0.009297789,0.011453959,0.013280898,0.253873506,0.154481982,0.004972357,0.04,0.02,1.22E-05,1.419516772,0.017242017,0.1747689
7,Julia,51.92417588,1.496889781,0.837774065,5.407370601,3.601855692,4.836325511,1.695240062,9.399447198,8.37E-07,0.025894326,0.017637232,0.142111482,0.288089159,0.270302508,0.025963354,0.106160846,0.027059246,0.320680402,1.142746744,0.007394869,0.009775048,0.008217842,0.007167276,0.088853208,25.52245767,2.643882968,3.633217844,1.229499216,7.301281257,0.001603318,3.44E-05,0.04,0.02,4.33E-05,0.87229812,0.023672927,0.4616449
8,Julia,0.889664607,0.011411842,0.005874174,0.08898017,0.006339499,0.007826853,0.013806445,0.126802098,1.82E-07,0.058962243,0.14798126,0.128531326,0.367146942,0.247665763,0.021729992,0.094736085,0.021977157,0.398062934,0.939535379,0.216229411,0.443728575,0.116086733,0.825607636,0.324635564,25.59070612,0.006327804,0.007813656,0.013779821,0.126616511,0.140758139,0.005591679,0.04,0.02,8.29E-06,1.816526665,0.010499097,0.3069493
9,Julia,0.960395536,0.010781342,0.004728387,0.083038281,0.011259295,0.013804419,0.014157354,0.091822282,2.58E-07,0.054840291,0.162390867,0.136355139,0.379810792,0.321096959,0.027756688,0.087849302,0.025418894,0.428155006,1.183036712,0.234707288,0.423473546,0.126270453,0.884400181,0.274614495,25.71380461,0.011229854,0.013771423,0.014118657,0.091631757,0.151096427,0.003560384,0.04,0.02,1.12E-05,1.582509678,0.015456259,0.3423339
10,Julia,1.083832123,0.012874639,0.005443067,0.164397249,0.010802662,0.012901381,0.019850478,0.278764112,2.51E-07,0.052050579,0.153096306,0.131200474,0.292368055,0.321152152,0.028743655,0.139315494,0.035817479,0.460665145,1.271445721,0.229155771,0.496024159,0.131685918,0.797484125,0.328498024,25.59353637,0.010773377,0.01286941,0.019794226,0.278164428,0.142411995,0.004132621,0.04,0.02,1.05E-05,1.518180464,0.015708687,0.4725222
11,Julia,1.018329013,0.013345767,0.005310192,0.090080999,0.013973448,0.015403387,0.015946407,0.158787495,2.57E-07,0.053631229,0.164491263,0.141340146,0.294025873,0.279752875,0.03227344,0.08995616,0.026657763,0.412973259,1.030719289,0.224582262,0.380714044,0.148415053,0.866006459,0.311492455,25.59363154,0.013939327,0.015369005,0.015905703,0.158479828,0.153983154,0.004575063,0.04,0.02,1.11E-05,1.581759224,0.015100206,0.4293358
12,Julia,0.925362342,0.012359783,0.004812958,0.091593586,0.008770307,0.009161793,0.010376305,0.155806423,2.10E-07,0.052209417,0.141756105,0.120455615,0.36094786,0.315375732,0.028964611,0.093631627,0.030015123,0.397605217,1.257063086,0.227311055,0.457821267,0.140364967,0.804550702,0.265464777,25.62211286,0.008749287,0.00914172,0.010350307,0.155510103,0.133087101,0.004746311,0.04,0.02,9.37E-06,1.626588517,0.01322801,0.3921309
13,Julia,1.225256669,0.015329511,0.004805384,0.129270461,0.011776679,0.014456345,0.020271325,0.72871777,2.33E-07,0.06130156,0.154111745,0.140823404,0.269593168,0.373791156,0.036262529,0.132009069,0.032695034,0.390036815,1.258862824,0.288976759,0.509237201,0.120384401,0.680612431,0.36252653,25.53756687,0.011750002,0.014426412,0.020223324,0.727407986,0.144778381,0.00435149,0.04,0.02,9.77E-06,1.734911707,0.012881351,0.540888
