Set_Number,Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time,,,,,,
1,Julia,1.029520164,0.013255102,0.005225686,0.100442366,0.015173991,0.016772838,0.020437349,0.105968515,2.51E-07,0.059124458,0.144143868,0.120341959,0.353599322,0.306162262,0.025316976,0.108820527,0.028800338,0.442455477,1.184198491,0.253701629,0.37400599,0.135926741,0.84258437,0.350591238,25.69429745,0.015137713,0.016736182,0.020386272,0.105767484,0.134924426,0.003405012,0.04,0.02,1.11E-05,1.721752371,0.012596782,0.153027,,,-0.007607447,0.015124859,,0.502976352
2,Julia,0.988778835,0.010180092,0.004908767,0.136986503,0.008493315,0.010036883,0.01598046,0.162948036,2.58E-07,0.059580962,0.159080142,0.136529629,0.315293115,0.334449365,0.03176073,0.102396212,0.027004421,0.431738044,1.278310643,0.219837735,0.475648194,0.125313099,0.862755232,0.304365101,25.65086228,0.008474036,0.010016058,0.015942541,0.162654552,0.149445797,0.004296099,0.04,0.02,1.13E-05,1.743205345,0.013396712,0.6052429,,,,,,
3,Julia,1580.328612,0.012326631,0.004992407,5.337706848,3.945538545,5.129766072,2.18876929,9.157666886,0.005960997,2.16E-06,0.015715444,0.123201169,0.22756509,0.265829757,0.02480124,0.11794851,0.025213206,0.360316757,1.144680425,0.007143688,0.007224312,0.007481025,0.007152114,0.007351527,25.4768655,2.480980287,3.332114836,1.353475928,6.237426432,0.000895079,1.63E-05,0.04,0.02,0.283790674,6.76E-05,0.021063684,0.2632382,,,,,,
4,Julia,0.977764543,0.012480404,0.004549785,0.078456614,0.011857451,0.014168049,0.015284842,0.210220586,1.98E-07,0.050331115,0.166272371,0.14260218,0.319247176,0.316488258,0.021161251,0.080860261,0.026871267,0.432368274,1.044846652,0.261601563,0.439736227,0.121778588,0.685432496,0.324584701,25.5613434,0.011826749,0.014134515,0.015243472,0.209788658,0.154944247,0.004098166,0.04,0.02,8.69E-06,1.484119988,0.015960637,0.3416018,,,,,,
5,Julia,1.504863961,0.011129849,0.005812912,0.143212937,0.016066718,0.020079999,0.022116703,1.512890406,2.29E-07,0.057736642,0.145131931,0.147390946,0.263993923,0.327796334,0.039240993,0.139534395,0.035203128,0.477308362,1.308521623,0.247864555,0.398076713,0.139725654,0.637306438,0.36261071,25.48308276,0.016033966,0.020042584,0.022069574,1.510443441,0.137371791,0.006018303,0.04,0.02,9.71E-06,1.699513976,0.011353083,0.2843198,,,,,,
6,Julia,1.034716451,0.015783338,0.005416923,0.068644445,0.009322968,0.011482309,0.013318504,0.245486435,2.91E-07,0.048555888,0.166328032,0.143654469,0.345321675,0.319000065,0.028572767,0.110350739,0.035446627,0.435270326,1.065502975,0.285470737,0.497565686,0.136646555,0.784147136,0.306115779,25.57287272,0.009297279,0.011453386,0.01328014,0.244949634,0.154714798,0.004876848,0.04,0.02,1.23E-05,1.452714897,0.017621054,0.1336911,,,,,,
7,Julia,51.94009352,1.501271505,0.840283657,5.40732149,3.60141855,4.835343675,1.694236823,9.396798526,8.37E-07,0.026719112,0.018053083,0.142096615,0.28806436,0.270277515,0.025963158,0.106160576,0.027058925,0.320343926,1.142598227,0.007394332,0.009771844,0.008216788,0.007167269,0.08881225,25.52240934,2.643420328,3.632298058,1.228703535,7.298895306,0.00164082,3.44E-05,0.04,0.02,4.33E-05,0.900545839,0.024232079,0.414491,,,,,,
8,Julia,0.890334265,0.011411845,0.005874176,0.088980228,0.0063395,0.007826856,0.013806453,0.120426415,1.82E-07,0.061373287,0.148579477,0.12852972,0.367157552,0.247673319,0.021730081,0.094736185,0.021977284,0.398064589,0.939536303,0.21623063,0.443729128,0.11608696,0.825857114,0.324636684,25.59072407,0.006327349,0.007813144,0.01377879,0.120243276,0.14105787,0.005389972,0.04,0.02,8.34E-06,1.898355384,0.01093501,0.2923727,,,,,,
9,Julia,0.961877548,0.010781342,0.004728387,0.083038292,0.011259295,0.01380442,0.014157357,0.089173824,2.58E-07,0.056385332,0.162867031,0.136354469,0.379815804,0.321101133,0.027756727,0.087849333,0.025418947,0.428155633,1.183037119,0.234707765,0.423473719,0.126270528,0.884508056,0.274614895,25.71381465,0.011229004,0.013770471,0.014117542,0.088983447,0.151234852,0.003462703,0.04,0.02,1.13E-05,1.632845648,0.015921108,0.2620901,,,,,,
10,Julia,1.086771549,0.012874638,0.005443066,0.164397136,0.010802662,0.012901378,0.019850469,0.300378937,2.51E-07,0.049933552,0.152118933,0.131205788,0.292342861,0.321122483,0.0287434,0.139315072,0.035817043,0.460660989,1.271441912,0.229152997,0.49602252,0.131685292,0.796652203,0.328495636,25.59348162,0.010774575,0.012870714,0.019796517,0.299759189,0.141908801,0.004303648,0.04,0.02,1.04E-05,1.445764453,0.01500594,0.326224,,,,,,
11,Julia,1.01862633,0.013345768,0.005310193,0.090081149,0.013973456,0.015403399,0.015946438,0.153753846,2.57E-07,0.054893589,0.164935854,0.141338825,0.294032642,0.27975978,0.032273526,0.089956218,0.026657866,0.41297438,1.03071996,0.224583111,0.380714347,0.148415235,0.866212841,0.31149319,25.59364619,0.013938522,0.015368197,0.015904764,0.153448825,0.154163941,0.004471597,0.04,0.02,1.11E-05,1.624299082,0.015481759,0.6170568,,,,,,
12,Julia,0.924291312,0.012359783,0.004812958,0.091593579,0.008770307,0.009161792,0.010376304,0.157509917,2.10E-07,0.050936225,0.141390753,0.120456041,0.360944904,0.315372959,0.028964581,0.093631599,0.030015079,0.397604797,1.257062728,0.227310719,0.457821116,0.140364896,0.804483923,0.26546445,25.62210743,0.008749805,0.009142215,0.010350948,0.157217756,0.132945245,0.004861878,0.04,0.02,9.33E-06,1.581850214,0.012884953,0.3804115,,,,,,
13,Julia,1.233988698,0.015329507,0.004805382,0.129270333,0.01177668,0.014456337,0.020271309,0.764861847,2.33E-07,0.060290528,0.153348576,0.140830803,0.269562671,0.373745419,0.036262075,0.132008638,0.032694401,0.390031797,1.258858727,0.288971188,0.50923518,0.1203837,0.679440319,0.362523189,25.53750112,0.011750331,0.014426772,0.020223898,0.763504,0.144168966,0.004404287,0.04,0.02,9.74E-06,1.702095227,0.012667621,0.1579448,,,,,,
14,Julia,0.951775783,0.011032993,0.004707533,0.086036928,0.007515547,0.008854239,0.011097208,0.18750825,2.34E-07,0.045871671,0.153638774,0.129889948,0.319399452,0.361655809,0.031416833,0.095101873,0.029947319,0.448267561,1.362973033,0.22279902,0.531497195,0.149267668,0.77332264,0.324812044,25.62210603,0.007493916,0.008830943,0.01106382,0.187079971,0.142487904,0.004288305,0.04,0.02,9.99E-06,1.388230414,0.016999361,0.2190906,,,,,,
15,Julia,0.960161299,0.013025069,0.004049683,0.078157671,0.008709665,0.009829346,0.012285527,0.342755741,2.11E-07,0.052826713,0.164533869,0.146985729,0.343130656,0.269684568,0.019896735,0.080779753,0.023641401,0.337945103,1.001213976,0.202245828,0.356640179,0.135032273,0.70290103,0.271870773,25.62000505,0.008690651,0.009809731,0.01225749,0.342162022,0.155269142,0.006156973,0.04,0.02,9.57E-06,1.656201965,0.014020517,0.1699033,,,,,,
16,Julia,38.61385463,0.110726696,0.038233934,5.373521844,2.527994072,3.283256292,3.001459565,11.16827438,7.01E-06,0.028187955,0.018825759,0.147534742,0.277281645,0.226332854,0.023977062,0.096451118,0.02757403,0.360980352,1.091151454,0.010244144,0.131084999,0.00981263,0.007222338,0.132352078,25.45015739,1.702848253,2.275535033,1.992215467,8.06774033,0.001265723,2.08E-05,0.04,0.02,0.000356255,0.893227407,0.02390631,0.3761061,,,,,,
17,Julia,0.987955455,0.01422268,0.006523461,0.100509263,0.0110225,0.012170312,0.019101738,0.157179639,2.79E-07,0.053869526,0.142108806,0.115968285,0.330919945,0.354625552,0.025461496,0.096861932,0.030433159,0.404863916,1.060800602,0.244791031,0.413260471,0.131777699,0.66440269,0.298132973,25.49715648,0.010989253,0.012136755,0.019041512,0.156803402,0.130737409,0.002481761,0.04,0.02,1.18E-05,1.510213145,0.015248429,0.2017184,,,,,,
18,Julia,0.966706334,0.013816606,0.004407136,0.098909839,0.011570011,0.012341647,0.014734214,0.196934229,1.80E-07,0.048699628,0.146807563,0.122596464,0.371848852,0.330727093,0.024893198,0.108682766,0.025940994,0.389303757,1.304342021,0.254715909,0.344772562,0.135228576,0.651439348,0.326497438,25.61039342,0.011535211,0.012307713,0.014687888,0.196464151,0.135605854,0.003656792,0.04,0.02,7.90E-06,1.485627225,0.01678204,0.1268941,,,,,,
